ITR,FILE_NAME,FSCORE,PRECISION,RECALL,ACCURACY,SK_THRESHOLD,ALPHA,ORIG_CONTRIB,SEG_THRESHOLD
1,01_test.tif,0.801,0.787,0.816,0.964,60,7,0.3,16
2,02_test.tif,0.795,0.866,0.735,0.961,60,7,0.3,16
3,03_test.tif,0.73,0.669,0.804,0.941,60,7,0.3,16
4,04_test.tif,0.767,0.828,0.715,0.96,60,7,0.3,16
5,05_test.tif,0.769,0.773,0.764,0.957,60,7,0.3,16
6,06_test.tif,0.756,0.751,0.761,0.952,60,7,0.3,16
7,07_test.tif,0.753,0.81,0.704,0.958,60,7,0.3,16
8,08_test.tif,0.728,0.784,0.68,0.956,60,7,0.3,16
9,09_test.tif,0.732,0.838,0.65,0.961,60,7,0.3,16
10,10_test.tif,0.767,0.764,0.77,0.962,60,7,0.3,16
11,11_test.tif,0.738,0.8,0.685,0.956,60,7,0.3,16
12,12_test.tif,0.76,0.728,0.794,0.957,60,7,0.3,16
13,13_test.tif,0.749,0.879,0.652,0.957,60,7,0.3,16
14,14_test.tif,0.762,0.718,0.811,0.959,60,7,0.3,16
15,15_test.tif,0.707,0.627,0.811,0.952,60,7,0.3,16
16,16_test.tif,0.802,0.861,0.751,0.967,60,7,0.3,16
17,17_test.tif,0.739,0.883,0.636,0.962,60,7,0.3,16
18,18_test.tif,0.788,0.768,0.809,0.966,60,7,0.3,16
19,19_test.tif,0.793,0.707,0.903,0.961,60,7,0.3,16
20,20_test.tif,0.785,0.746,0.828,0.967,60,7,0.3,16
